"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","10nF","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~","1","","",""
"C2","300pF","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~","1","","",""
"C3","100nF","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~","1","","",""
"C4","1nF","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~","1","","",""
"D1","MB6F","PCM_Diode_SMD_AKL:Diode_Bridge_MBF","https://www.jlc-smt.com/lcsc/detail?componentCode=C3036709","1","","",""
"D2","P4SMAJ36CA","PCM_Diode_SMD_AKL:D_SMA_TVS","https://www.tme.eu/Document/1eef058bc29c4135e52f8ab997b46c91/p4smaj65.pdf","1","","",""
"FB1,FB2","600R@100Mhz","PCM_Inductor_SMD_AKL:L_1206_3216Metric","~","2","","",""
"J1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","","",""
"J3","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","1","","",""
"Q1","Q_NPN_BCE","PCM_Package_TO_SOT_SMD_AKL:SOT-89-3_BigPads","~","1","","",""
"Q2","Q_NPN_Generic_BEC","Package_TO_SOT_SMD:SOT-23-3","~","1","","",""
"R1","10K","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"R2","Ra","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"R3","Rb","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"R4","Rc","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"R5","Rd","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"R6","250R","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"R7","1K","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"R8","Re","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"U1","OPA2244UA","PCM_Package_SO_AKL:SO-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/opa244.pdf?ts=1635000702154&ref_url=https%253A%252F%252Fwww.google.com%252F","1","","",""
